County, Sex, Xiang, P004, P005, P006, P008, P009, P012, P014, P015, P016, P017, P035, P036, P037, P044, P045, P046, P047, P048, 
RA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
RA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
RA,T,3,129.8 ,61.0  ,4.7   ,2.54  ,10.8  ,49.5  ,483   ,200   , 0.68 , 51.7 ,238   , 88.5 ,13.5  , 54.1 ,.     ,.     ,.     ,.     ,
TD,M,1,116.7 ,59.4  ,4.4   ,4.20  ,12.8  ,39.7  ,527   ,259   , 4.16 , 49.5 ,233   , 91.4 ,16.8  , 70.0 ,226   ,.     , 95.8 ,.     ,
TD,M,2,119.9 ,56.8  ,4.6   ,4.56  ,13.7  ,48.0  ,585   ,282   , 2.27 , 78.4 ,247   , 88.3 ,14.8  , 61.1 ,143   ,.     , 62.5 ,.     ,
TD,M,3,118.3 ,58.1  ,4.5   ,4.38  ,13.3  ,43.9  ,556   ,271   , 3.22 , 64.0 ,240   , 89.9 ,15.8  , 65.5 ,185   ,.     , 79.2 ,.     ,
TD,F,1,129.4 ,58.3  ,4.9   ,5.55  ,16.5  ,46.4  ,632   ,290   , 3.00 , 82.9 ,257   , 88.1 ,12.9  , 84.0 ,.     , 73   ,.     , 25.0 ,
TD,F,2,132.4 ,55.6  ,4.8   ,4.71  ,18.3  ,41.5  ,673   ,295   , 4.15 , 61.1 ,241   , 87.0 ,12.9  , 70.8 ,.     , 36   ,.     , 25.0 ,
TD,F,3,130.9 ,57.0  ,4.9   ,5.13  ,17.4  ,44.0  ,653   ,293   , 3.58 , 72.0 ,249   , 87.5 ,12.9  , 77.4 ,.     , 55   ,.     , 25.0 ,
TD,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
TD,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
TD,T,3,124.6 ,57.5  ,4.7   ,4.75  ,15.3  ,43.9  ,604   ,282   , 3.40 , 68.0 ,245   , 88.7 ,14.4  , 71.5 ,.     ,.     ,.     ,.     ,
